pickup_date,fare_amount,passenger_count,trip_distance,vendor_id
2024-01-24,55.2,1,15.05,CMT
2024-01-25,10.3,1,2.2,VTS
2024-01-26,14.9,3,3.45,CMT
2024-01-27,6.5,1,0.7,VTS
2024-01-28,25.6,2,6.8,CMT
2024-01-01,13.0,1,2.75,VTS
2024-01-02,40.1,1,11.3,CMT
2024-01-03,9.7,2,1.95,VTS
2024-01-04,16.3,1,3.7,CMT
2024-01-05,12.9,1,2.3,VTS
2024-01-06,8.5,2,1.15,CMT
2024-01-07,45.6,1,12.5,VTS
2024-01-08,6.5,1,0.95,CMT
2024-01-09,22.1,3,5.4,VTS
2024-01-10,15.7,1,3.0,CMT
2024-01-11,9.3,2,1.55,VTS
2024-01-12,30.4,1,8.2,CMT
2024-01-13,11.5,4,2.15,VTS
2024-01-14,8.1,1,1.4,CMT
2024-01-15,18.0,2,4.5,VTS
2024-01-16,55.1,1,15.05,CMT
2024-01-17,10.2,1,2.2,VTS
2024-01-18,14.8,3,3.45,CMT
2024-01-19,6.4,1,0.7,VTS
2024-01-20,25.5,2,6.8,CMT
2024-01-21,13.6,1,2.75,VTS
2024-01-22,40.0,1,11.3,CMT
2024-01-23,9.6,2,1.95,VTS
2024-01-24,16.2,1,3.7,CMT
2024-01-25,12.8,1,2.3,VTS
2024-01-26,8.4,2,1.15,CMT
2024-01-27,45.5,1,12.5,VTS
2024-01-28,7.1,1,0.95,CMT
2024-01-01,22.0,3,5.4,VTS
2024-01-02,15.6,1,3.0,CMT
2024-01-03,9.2,2,1.55,VTS
2024-01-04,30.3,1,8.2,CMT
2024-01-05,11.4,4,2.15,VTS
2024-01-06,8.0,1,1.4,CMT
2024-01-07,18.6,2,4.5,VTS
2024-01-08,55.0,1,15.05,CMT
2024-01-09,10.1,1,2.2,VTS
2024-01-10,14.7,3,3.45,CMT
2024-01-11,6.3,1,0.7,VTS
2024-01-12,25.4,2,6.8,CMT
2024-01-13,13.5,1,2.75,VTS
2024-01-14,40.6,1,11.3,CMT
2024-01-15,9.5,2,1.95,VTS
2024-01-16,16.1,1,3.7,CMT
2024-01-17,12.7,1,2.3,VTS
2024-01-18,8.3,2,1.15,CMT
2024-01-19,45.4,1,12.5,VTS
2024-01-20,7.0,1,0.95,CMT
2024-01-21,22.6,3,5.4,VTS
2024-01-22,15.5,1,3.0,CMT
2024-01-23,9.1,2,1.55,VTS
2024-01-24,30.2,1,8.2,CMT
2024-01-25,11.3,4,2.15,VTS
2024-01-26,7.9,1,1.4,CMT
2024-01-27,18.5,2,4.5,VTS
2024-01-28,55.6,1,15.05,CMT
2024-01-01,10.0,1,2.2,VTS
2024-01-02,14.6,3,3.45,CMT
2024-01-03,6.2,1,0.7,VTS
2024-01-04,25.3,2,6.8,CMT
2024-01-05,13.4,1,2.75,VTS
2024-01-06,40.5,1,11.3,CMT
2024-01-07,10.1,2,1.95,VTS
2024-01-08,16.0,1,3.7,CMT
2024-01-09,12.6,1,2.3,VTS
2024-01-10,8.2,2,1.15,CMT
2024-01-11,45.3,1,12.5,VTS
2024-01-12,6.9,1,0.95,CMT
2024-01-13,22.5,3,5.4,VTS
2024-01-14,16.1,1,3.0,CMT
2024-01-15,9.0,2,1.55,VTS
2024-01-16,30.1,1,8.2,CMT
2024-01-17,11.2,4,2.15,VTS
2024-01-18,7.8,1,1.4,CMT
2024-01-19,18.4,2,4.5,VTS
2024-01-20,55.5,1,15.05,CMT
2024-01-21,10.6,1,2.2,VTS
2024-01-22,14.5,3,3.45,CMT
2024-01-23,6.1,1,0.7,VTS
2024-01-24,25.2,2,6.8,CMT
2024-01-25,13.3,1,2.75,VTS
2024-01-26,40.4,1,11.3,CMT
2024-01-27,10.0,2,1.95,VTS
2024-01-28,16.6,1,3.7,CMT
2024-01-01,12.5,1,2.3,VTS
2024-01-02,8.1,2,1.15,CMT
2024-01-03,45.2,1,12.5,VTS
2024-01-04,6.8,1,0.95,CMT
2024-01-05,22.4,3,5.4,VTS
2024-01-06,16.0,1,3.0,CMT
2024-01-07,9.6,2,1.55,VTS
2024-01-08,30.0,1,8.2,CMT
2024-01-09,11.1,4,2.15,VTS
2024-01-10,7.7,1,1.4,CMT
2024-01-11,18.3,2,4.5,VTS
2024-01-12,55.4,1,15.05,CMT
2024-01-13,10.5,1,2.2,VTS
2024-01-14,15.1,3,3.45,CMT
2024-01-15,6.0,1,0.7,VTS
2024-01-16,25.1,2,6.8,CMT
2024-01-17,13.2,1,2.75,VTS
2024-01-18,40.3,1,11.3,CMT
2024-01-19,9.9,2,1.95,VTS
2024-01-20,16.5,1,3.7,CMT
2024-01-21,13.1,1,2.3,VTS
2024-01-22,8.0,2,1.15,CMT
2024-01-23,45.1,1,12.5,VTS
2024-01-24,6.7,1,0.95,CMT
2024-01-25,22.3,3,5.4,VTS
2024-01-26,15.9,1,3.0,CMT
2024-01-27,9.5,2,1.55,VTS
2024-01-28,30.6,1,8.2,CMT
2024-01-01,11.0,4,2.15,VTS
2024-01-02,7.6,1,1.4,CMT
2024-01-03,18.2,2,4.5,VTS
2024-01-04,55.3,1,15.05,CMT
2024-01-05,10.4,1,2.2,VTS
2024-01-06,15.0,3,3.45,CMT
2024-01-07,6.6,1,0.7,VTS
2024-01-08,25.0,2,6.8,CMT
2024-01-09,13.1,1,2.75,VTS
2024-01-10,40.2,1,11.3,CMT
2024-01-11,9.8,2,1.95,VTS
2024-01-12,16.4,1,3.7,CMT
2024-01-13,13.0,1,2.3,VTS
2024-01-14,8.6,2,1.15,CMT
2024-01-15,45.0,1,12.5,VTS
2024-01-16,6.6,1,0.95,CMT
2024-01-17,22.2,3,5.4,VTS
2024-01-18,15.8,1,3.0,CMT
2024-01-19,9.4,2,1.55,VTS
2024-01-20,30.5,1,8.2,CMT
2024-01-21,11.6,4,2.15,VTS
2024-01-22,7.5,1,1.4,CMT
2024-01-23,18.1,2,4.5,VTS
2024-01-24,55.2,1,15.05,CMT
2024-01-25,10.3,1,2.2,VTS
2024-01-26,14.9,3,3.45,CMT
2024-01-27,6.5,1,0.7,VTS
2024-01-28,25.6,2,6.8,CMT
2024-01-01,13.0,1,2.75,VTS
2024-01-02,40.1,1,11.3,CMT
2024-01-03,9.7,2,1.95,VTS
2024-01-04,16.3,1,3.7,CMT
2024-01-05,12.9,1,2.3,VTS
2024-01-06,8.5,2,1.15,CMT
2024-01-07,45.6,1,12.5,VTS
2024-01-08,6.5,1,0.95,CMT
2024-01-09,22.1,3,5.4,VTS
2024-01-10,15.7,1,3.0,CMT
2024-01-11,9.3,2,1.55,VTS
2024-01-12,30.4,1,8.2,CMT
2024-01-13,11.5,4,2.15,VTS
2024-01-14,8.1,1,1.4,CMT
2024-01-15,18.0,2,4.5,VTS
2024-01-16,55.1,1,15.05,CMT
2024-01-17,10.2,1,2.2,VTS
2024-01-18,14.8,3,3.45,CMT
2024-01-19,6.4,1,0.7,VTS
2024-01-20,25.5,2,6.8,CMT
2024-01-21,13.6,1,2.75,VTS
2024-01-22,40.0,1,11.3,CMT
2024-01-23,9.6,2,1.95,VTS
2024-01-24,16.2,1,3.7,CMT
2024-01-25,12.8,1,2.3,VTS
2024-01-26,8.4,2,1.15,CMT
2024-01-27,45.5,1,12.5,VTS
2024-01-28,7.1,1,0.95,CMT
2024-01-01,22.0,3,5.4,VTS
2024-01-02,15.6,1,3.0,CMT
2024-01-03,9.2,2,1.55,VTS
2024-01-04,30.3,1,8.2,CMT
2024-01-05,11.4,4,2.15,VTS
2024-01-06,8.0,1,1.4,CMT
2024-01-07,18.6,2,4.5,VTS
2024-01-08,55.0,1,15.05,CMT
2024-01-09,10.1,1,2.2,VTS
2024-01-10,14.7,3,3.45,CMT
2024-01-11,6.3,1,0.7,VTS
2024-01-12,25.4,2,6.8,CMT
2024-01-13,13.5,1,2.75,VTS
2024-01-14,40.6,1,11.3,CMT
2024-01-15,9.5,2,1.95,VTS
2024-01-16,16.1,1,3.7,CMT
2024-01-17,12.7,1,2.3,VTS
2024-01-18,8.3,2,1.15,CMT
2024-01-19,45.4,1,12.5,VTS
2024-01-20,7.0,1,0.95,CMT
2024-01-21,22.6,3,5.4,VTS
2024-01-22,15.5,1,3.0,CMT
2024-01-23,9.1,2,1.55,VTS
2024-01-24,30.2,1,8.2,CMT
2024-01-25,11.3,4,2.15,VTS
2024-01-26,7.9,1,1.4,CMT
2024-01-27,18.5,2,4.5,VTS
2024-01-28,55.6,1,15.05,CMT
2024-01-01,10.0,1,2.2,VTS
2024-01-02,14.6,3,3.45,CMT
2024-01-03,6.2,1,0.7,VTS
2024-01-04,25.3,2,6.8,CMT
2024-01-05,13.4,1,2.75,VTS
2024-01-06,40.5,1,11.3,CMT
2024-01-07,10.1,2,1.95,VTS
2024-01-08,16.0,1,3.7,CMT
2024-01-09,12.6,1,2.3,VTS
2024-01-10,8.2,2,1.15,CMT
2024-01-11,45.3,1,12.5,VTS
2024-01-12,6.9,1,0.95,CMT
2024-01-13,22.5,3,5.4,VTS
2024-01-14,16.1,1,3.0,CMT
2024-01-15,9.0,2,1.55,VTS
2024-01-16,30.1,1,8.2,CMT
2024-01-17,11.2,4,2.15,VTS
2024-01-18,7.8,1,1.4,CMT
2024-01-19,18.4,2,4.5,VTS
2024-01-20,55.5,1,15.05,CMT
2024-01-21,10.6,1,2.2,VTS
2024-01-22,14.5,3,3.45,CMT
2024-01-23,6.1,1,0.7,VTS
2024-01-24,25.2,2,6.8,CMT
2024-01-25,13.3,1,2.75,VTS
2024-01-26,40.4,1,11.3,CMT
2024-01-27,10.0,2,1.95,VTS
2024-01-28,16.6,1,3.7,CMT
2024-01-01,12.5,1,2.3,VTS
2024-01-02,8.1,2,1.15,CMT
2024-01-03,45.2,1,12.5,VTS
2024-01-04,6.8,1,0.95,CMT
2024-01-05,22.4,3,5.4,VTS
2024-01-06,16.0,1,3.0,CMT
2024-01-07,9.6,2,1.55,VTS
2024-01-08,30.0,1,8.2,CMT
2024-01-09,11.1,4,2.15,VTS
2024-01-10,7.7,1,1.4,CMT
2024-01-11,18.3,2,4.5,VTS
2024-01-12,55.4,1,15.05,CMT
2024-01-13,10.5,1,2.2,VTS
2024-01-14,15.1,3,3.45,CMT
2024-01-15,6.0,1,0.7,VTS
2024-01-16,25.1,2,6.8,CMT
2024-01-17,13.2,1,2.75,VTS
2024-01-18,40.3,1,11.3,CMT
2024-01-19,9.9,2,1.95,VTS
2024-01-20,16.5,1,3.7,CMT
2024-01-21,13.1,1,2.3,VTS
2024-01-22,8.0,2,1.15,CMT
2024-01-23,45.1,1,12.5,VTS
2024-01-24,6.7,1,0.95,CMT
2024-01-25,22.3,3,5.4,VTS
2024-01-26,15.9,1,3.0,CMT
2024-01-27,9.5,2,1.55,VTS
2024-01-28,30.6,1,8.2,CMT
2024-01-01,11.0,4,2.15,VTS
2024-01-02,7.6,1,1.4,CMT
2024-01-03,18.2,2,4.5,VTS
2024-01-04,55.3,1,15.05,CMT
2024-01-05,10.4,1,2.2,VTS
2024-01-06,15.0,3,3.45,CMT
2024-01-07,6.6,1,0.7,VTS
2024-01-08,25.0,2,6.8,CMT
2024-01-09,13.1,1,2.75,VTS
2024-01-10,40.2,1,11.3,CMT
2024-01-11,9.8,2,1.95,VTS
2024-01-12,16.4,1,3.7,CMT
2024-01-13,13.0,1,2.3,VTS
2024-01-14,8.6,2,1.15,CMT
2024-01-15,45.0,1,12.5,VTS
2024-01-16,6.6,1,0.95,CMT
2024-01-17,22.2,3,5.4,VTS
2024-01-18,15.8,1,3.0,CMT
2024-01-19,9.4,2,1.55,VTS
2024-01-20,30.5,1,8.2,CMT
2024-01-21,11.6,4,2.15,VTS
2024-01-22,7.5,1,1.4,CMT
2024-01-23,18.1,2,4.5,VTS
2024-01-24,55.2,1,15.05,CMT
2024-01-25,10.3,1,2.2,VTS
2024-01-26,14.9,3,3.45,CMT
2024-01-27,6.5,1,0.7,VTS
2024-01-28,25.6,2,6.8,CMT
2024-01-01,13.0,1,2.75,VTS
2024-01-02,40.1,1,11.3,CMT
2024-01-03,9.7,2,1.95,VTS
2024-01-04,16.3,1,3.7,CMT
2024-01-05,12.9,1,2.3,VTS
2024-01-06,8.5,2,1.15,CMT
2024-01-07,45.6,1,12.5,VTS
2024-01-08,6.5,1,0.95,CMT
2024-01-09,22.1,3,5.4,VTS
2024-01-10,15.7,1,3.0,CMT
2024-01-11,9.3,2,1.55,VTS
2024-01-12,30.4,1,8.2,CMT
2024-01-13,11.5,4,2.15,VTS
2024-01-14,8.1,1,1.4,CMT
2024-01-15,18.0,2,4.5,VTS
2024-01-16,55.1,1,15.05,CMT
2024-01-17,10.2,1,2.2,VTS
2024-01-18,14.8,3,3.45,CMT
2024-01-19,6.4,1,0.7,VTS
2024-01-20,25.5,2,6.8,CMT
2024-01-21,13.6,1,2.75,VTS
2024-01-22,40.0,1,11.3,CMT
2024-01-23,9.6,2,1.95,VTS
2024-01-24,16.2,1,3.7,CMT
2024-01-25,12.8,1,2.3,VTS
2024-01-26,8.4,2,1.15,CMT
2024-01-27,45.5,1,12.5,VTS
2024-01-28,7.1,1,0.95,CMT
2024-01-01,22.0,3,5.4,VTS
2024-01-02,15.6,1,3.0,CMT
2024-01-03,9.2,2,1.55,VTS
2024-01-04,30.3,1,8.2,CMT
2024-01-05,11.4,4,2.15,VTS
2024-01-06,8.0,1,1.4,CMT
2024-01-07,18.6,2,4.5,VTS
2024-01-08,55.0,1,15.05,CMT
2024-01-09,10.1,1,2.2,VTS
2024-01-10,14.7,3,3.45,CMT
2024-01-11,6.3,1,0.7,VTS
2024-01-12,25.4,2,6.8,CMT
2024-01-13,13.5,1,2.75,VTS
2024-01-14,40.6,1,11.3,CMT
2024-01-15,9.5,2,1.95,VTS
2024-01-16,16.1,1,3.7,CMT
2024-01-17,12.7,1,2.3,VTS
2024-01-18,8.3,2,1.15,CMT
2024-01-19,45.4,1,12.5,VTS
2024-01-20,7.0,1,0.95,CMT
2024-01-21,22.6,3,5.4,VTS
2024-01-22,15.5,1,3.0,CMT
2024-01-23,9.1,2,1.55,VTS
2024-01-24,30.2,1,8.2,CMT
2024-01-25,11.3,4,2.15,VTS
2024-01-26,7.9,1,1.4,CMT
2024-01-27,18.5,2,4.5,VTS
2024-01-28,55.6,1,15.05,CMT
2024-01-01,10.0,1,2.2,VTS
2024-01-02,14.6,3,3.45,CMT
2024-01-03,6.2,1,0.7,VTS
2024-01-04,25.3,2,6.8,CMT
2024-01-05,13.4,1,2.75,VTS
2024-01-06,40.5,1,11.3,CMT
2024-01-07,10.1,2,1.95,VTS
2024-01-08,16.0,1,3.7,CMT
2024-01-09,12.6,1,2.3,VTS
2024-01-10,8.2,2,1.15,CMT
2024-01-11,45.3,1,12.5,VTS
2024-01-12,6.9,1,0.95,CMT
2024-01-13,22.5,3,5.4,VTS
2024-01-14,16.1,1,3.0,CMT
2024-01-15,9.0,2,1.55,VTS
2024-01-16,30.1,1,8.2,CMT
2024-01-17,11.2,4,2.15,VTS
2024-01-18,7.8,1,1.4,CMT
2024-01-19,18.4,2,4.5,VTS
2024-01-20,55.5,1,15.05,CMT
2024-01-21,10.6,1,2.2,VTS
2024-01-22,14.5,3,3.45,CMT
2024-01-23,6.1,1,0.7,VTS
2024-01-24,25.2,2,6.8,CMT
2024-01-25,13.3,1,2.75,VTS
2024-01-26,40.4,1,11.3,CMT
2024-01-27,10.0,2,1.95,VTS
2024-01-28,16.6,1,3.7,CMT
2024-01-01,12.5,1,2.3,VTS
2024-01-02,8.1,2,1.15,CMT
2024-01-03,45.2,1,12.5,VTS
2024-01-04,6.8,1,0.95,CMT
2024-01-05,22.4,3,5.4,VTS
2024-01-06,16.0,1,3.0,CMT
2024-01-07,9.6,2,1.55,VTS
2024-01-08,30.0,1,8.2,CMT
2024-01-09,11.1,4,2.15,VTS
2024-01-10,7.7,1,1.4,CMT
2024-01-11,18.3,2,4.5,VTS
2024-01-12,55.4,1,15.05,CMT
2024-01-13,10.5,1,2.2,VTS
2024-01-14,15.1,3,3.45,CMT
2024-01-15,6.0,1,0.7,VTS
2024-01-16,25.1,2,6.8,CMT
2024-01-17,13.2,1,2.75,VTS
2024-01-18,40.3,1,11.3,CMT
2024-01-19,9.9,2,1.95,VTS
2024-01-20,16.5,1,3.7,CMT
2024-01-21,13.1,1,2.3,VTS
2024-01-22,8.0,2,1.15,CMT
2024-01-23,45.1,1,12.5,VTS
2024-01-24,6.7,1,0.95,CMT
2024-01-25,22.3,3,5.4,VTS
2024-01-26,15.9,1,3.0,CMT
2024-01-27,9.5,2,1.55,VTS
2024-01-28,30.6,1,8.2,CMT
2024-01-01,11.0,4,2.15,VTS
2024-01-02,7.6,1,1.4,CMT
2024-01-03,18.2,2,4.5,VTS
2024-01-04,55.3,1,15.05,CMT
2024-01-05,10.4,1,2.2,VTS
2024-01-06,15.0,3,3.45,CMT
2024-01-07,6.6,1,0.7,VTS
2024-01-08,25.0,2,6.8,CMT
2024-01-09,13.1,1,2.75,VTS
2024-01-10,40.2,1,11.3,CMT
2024-01-11,9.8,2,1.95,VTS
2024-01-12,16.4,1,3.7,CMT
2024-01-13,13.0,1,2.3,VTS
2024-01-14,8.6,2,1.15,CMT
2024-01-15,45.0,1,12.5,VTS
2024-01-16,6.6,1,0.95,CMT
2024-01-17,22.2,3,5.4,VTS
2024-01-18,15.8,1,3.0,CMT
2024-01-19,9.4,2,1.55,VTS
2024-01-20,30.5,1,8.2,CMT
2024-01-21,11.6,4,2.15,VTS
2024-01-22,7.5,1,1.4,CMT
2024-01-23,18.1,2,4.5,VTS
2024-01-24,55.2,1,15.05,CMT
2024-01-25,10.3,1,2.2,VTS
2024-01-26,14.9,3,3.45,CMT
2024-01-27,6.5,1,0.7,VTS
2024-01-28,25.6,2,6.8,CMT
2024-01-01,13.0,1,2.75,VTS
2024-01-02,40.1,1,11.3,CMT
2024-01-03,9.7,2,1.95,VTS
2024-01-04,16.3,1,3.7,CMT
2024-01-05,12.9,1,2.3,VTS
2024-01-06,8.5,2,1.15,CMT
2024-01-07,45.6,1,12.5,VTS
2024-01-08,6.5,1,0.95,CMT
2024-01-09,22.1,3,5.4,VTS
2024-01-10,15.7,1,3.0,CMT
2024-01-11,9.3,2,1.55,VTS
2024-01-12,30.4,1,8.2,CMT
2024-01-13,11.5,4,2.15,VTS
2024-01-14,8.1,1,1.4,CMT
2024-01-15,18.0,2,4.5,VTS
2024-01-16,55.1,1,15.05,CMT
2024-01-17,10.2,1,2.2,VTS
2024-01-18,14.8,3,3.45,CMT
2024-01-19,6.4,1,0.7,VTS
2024-01-20,25.5,2,6.8,CMT
2024-01-21,13.6,1,2.75,VTS
2024-01-22,40.0,1,11.3,CMT
2024-01-23,9.6,2,1.95,VTS
2024-01-24,16.2,1,3.7,CMT
2024-01-25,12.8,1,2.3,VTS
2024-01-26,8.4,2,1.15,CMT
2024-01-27,45.5,1,12.5,VTS
2024-01-28,7.1,1,0.95,CMT
2024-01-01,22.0,3,5.4,VTS
2024-01-02,15.6,1,3.0,CMT
2024-01-03,9.2,2,1.55,VTS
2024-01-04,30.3,1,8.2,CMT
2024-01-05,11.4,4,2.15,VTS
2024-01-06,8.0,1,1.4,CMT
2024-01-07,18.6,2,4.5,VTS
2024-01-08,55.0,1,15.05,CMT
2024-01-09,10.1,1,2.2,VTS
2024-01-10,14.7,3,3.45,CMT
2024-01-11,6.3,1,0.7,VTS
2024-01-12,25.4,2,6.8,CMT
2024-01-13,13.5,1,2.75,VTS
2024-01-14,40.6,1,11.3,CMT
2024-01-15,9.5,2,1.95,VTS
2024-01-16,16.1,1,3.7,CMT
2024-01-17,12.7,1,2.3,VTS
2024-01-18,8.3,2,1.15,CMT
2024-01-19,45.4,1,12.5,VTS
2024-01-20,7.0,1,0.95,CMT
2024-01-21,22.6,3,5.4,VTS
2024-01-22,15.5,1,3.0,CMT
2024-01-23,9.1,2,1.55,VTS
2024-01-24,30.2,1,8.2,CMT
2024-01-25,11.3,4,2.15,VTS
2024-01-26,7.9,1,1.4,CMT
2024-01-27,18.5,2,4.5,VTS
2024-01-28,55.6,1,15.05,CMT
2024-01-01,10.0,1,2.2,VTS
2024-01-02,14.6,3,3.45,CMT
2024-01-03,6.2,1,0.7,VTS
2024-01-04,25.3,2,6.8,CMT
2024-01-05,13.4,1,2.75,VTS
2024-01-06,40.5,1,11.3,CMT
2024-01-07,10.1,2,1.95,VTS
2024-01-08,16.0,1,3.7,CMT
2024-01-09,12.6,1,2.3,VTS
2024-01-10,8.2,2,1.15,CMT
2024-01-11,45.3,1,12.5,VTS
2024-01-12,6.9,1,0.95,CMT
2024-01-13,22.5,3,5.4,VTS
2024-01-14,16.1,1,3.0,CMT
2024-01-15,9.0,2,1.55,VTS
2024-01-16,30.1,1,8.2,CMT
2024-01-17,11.2,4,2.15,VTS
2024-01-18,7.8,1,1.4,CMT
2024-01-19,18.4,2,4.5,VTS
2024-01-20,55.5,1,15.05,CMT
2024-01-21,10.6,1,2.2,VTS
2024-01-22,14.5,3,3.45,CMT
2024-01-23,6.1,1,0.7,VTS
2024-01-24,25.2,2,6.8,CMT
2024-01-25,13.3,1,2.75,VTS
2024-01-26,40.4,1,11.3,CMT
2024-01-27,10.0,2,1.95,VTS
2024-01-28,16.6,1,3.7,CMT
2024-01-01,12.5,1,2.3,VTS
2024-01-02,8.1,2,1.15,CMT
2024-01-03,45.2,1,12.5,VTS
2024-01-04,6.8,1,0.95,CMT
2024-01-05,22.4,3,5.4,VTS
2024-01-06,16.0,1,3.0,CMT
2024-01-07,9.6,2,1.55,VTS
2024-01-08,30.0,1,8.2,CMT
2024-01-09,11.1,4,2.15,VTS
2024-01-10,7.7,1,1.4,CMT
2024-01-11,18.3,2,4.5,VTS
2024-01-12,55.4,1,15.05,CMT
2024-01-13,10.5,1,2.2,VTS
2024-01-14,15.1,3,3.45,CMT
2024-01-15,6.0,1,0.7,VTS
2024-01-16,25.1,2,6.8,CMT
2024-01-17,13.2,1,2.75,VTS
2024-01-18,40.3,1,11.3,CMT
2024-01-19,9.9,2,1.95,VTS
2024-01-20,16.5,1,3.7,CMT
2024-01-21,13.1,1,2.3,VTS
2024-01-22,8.0,2,1.15,CMT
2024-01-23,45.1,1,12.5,VTS
2024-01-24,6.7,1,0.95,CMT
2024-01-25,22.3,3,5.4,VTS
2024-01-26,15.9,1,3.0,CMT
2024-01-27,9.5,2,1.55,VTS
2024-01-28,30.6,1,8.2,CMT
2024-01-01,11.0,4,2.15,VTS
2024-01-02,7.6,1,1.4,CMT
2024-01-03,18.2,2,4.5,VTS
2024-01-04,55.3,1,15.05,CMT
2024-01-05,10.4,1,2.2,VTS
2024-01-06,15.0,3,3.45,CMT
2024-01-07,6.6,1,0.7,VTS
2024-01-08,25.0,2,6.8,CMT
2024-01-09,13.1,1,2.75,VTS
2024-01-10,40.2,1,11.3,CMT
2024-01-11,9.8,2,1.95,VTS
2024-01-12,16.4,1,3.7,CMT
2024-01-13,13.0,1,2.3,VTS
2024-01-14,8.6,2,1.15,CMT
2024-01-15,45.0,1,12.5,VTS
2024-01-16,6.6,1,0.95,CMT
2024-01-17,22.2,3,5.4,VTS
2024-01-18,15.8,1,3.0,CMT
2024-01-19,9.4,2,1.55,VTS
2024-01-20,30.5,1,8.2,CMT
2024-01-21,11.6,4,2.15,VTS
2024-01-22,7.5,1,1.4,CMT
2024-01-23,18.1,2,4.5,VTS
2024-01-24,55.2,1,15.05,CMT
2024-01-25,10.3,1,2.2,VTS
2024-01-26,14.9,3,3.45,CMT
2024-01-27,6.5,1,0.7,VTS
2024-01-28,25.6,2,6.8,CMT
2024-01-01,13.0,1,2.75,VTS
2024-01-02,40.1,1,11.3,CMT
2024-01-03,9.7,2,1.95,VTS
2024-01-04,16.3,1,3.7,CMT
2024-01-05,12.9,1,2.3,VTS
2024-01-06,8.5,2,1.15,CMT
2024-01-07,45.6,1,12.5,VTS
2024-01-08,6.5,1,0.95,CMT
2024-01-09,22.1,3,5.4,VTS
2024-01-10,15.7,1,3.0,CMT
2024-01-11,9.3,2,1.55,VTS
2024-01-12,30.4,1,8.2,CMT
2024-01-13,11.5,4,2.15,VTS
2024-01-14,8.1,1,1.4,CMT
2024-01-15,18.0,2,4.5,VTS
2024-01-16,55.1,1,15.05,CMT
2024-01-17,10.2,1,2.2,VTS
2024-01-18,14.8,3,3.45,CMT
2024-01-19,6.4,1,0.7,VTS
2024-01-20,25.5,2,6.8,CMT
2024-01-21,13.6,1,2.75,VTS
2024-01-22,40.0,1,11.3,CMT
2024-01-23,9.6,2,1.95,VTS
2024-01-24,16.2,1,3.7,CMT
2024-01-25,12.8,1,2.3,VTS
2024-01-26,8.4,2,1.15,CMT
2024-01-27,45.5,1,12.5,VTS
2024-01-28,7.1,1,0.95,CMT
2024-01-01,22.0,3,5.4,VTS
2024-01-02,15.6,1,3.0,CMT
2024-01-03,9.2,2,1.55,VTS
2024-01-04,30.3,1,8.2,CMT
2024-01-05,11.4,4,2.15,VTS
2024-01-06,8.0,1,1.4,CMT
2024-01-07,18.6,2,4.5,VTS
2024-01-08,55.0,1,15.05,CMT
2024-01-09,10.1,1,2.2,VTS
2024-01-10,14.7,3,3.45,CMT
2024-01-11,6.3,1,0.7,VTS
2024-01-12,25.4,2,6.8,CMT
2024-01-13,13.5,1,2.75,VTS
2024-01-14,40.6,1,11.3,CMT
2024-01-15,9.5,2,1.95,VTS
2024-01-16,16.1,1,3.7,CMT
2024-01-17,12.7,1,2.3,VTS
2024-01-18,8.3,2,1.15,CMT
2024-01-19,45.4,1,12.5,VTS
